CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
179568;TRES;ENVASES;CARABANCHEL;1;
179569;TRES;ENVASES;CARABANCHEL;1;
179557;TRES;ENVASES;CARABANCHEL;1;
179570;TRES;ENVASES;CARABANCHEL;1;
179483;TRES;ENVASES;PUENTE DE VALLECAS;1;
179156;TRES;ENVASES;CARABANCHEL;1;
179484;TRES;ENVASES;PUENTE DE VALLECAS;1;
179498;TRES;ENVASES;PUENTE DE VALLECAS;1;
179247;TRES;ENVASES;USERA;1;
179248;TRES;ENVASES;USERA;1;
178924;TRES;ENVASES;CARABANCHEL;1;
179210;TRES;ENVASES;CARABANCHEL;1;
178998;TRES;ENVASES;CARABANCHEL;1;
179054;TRES;ENVASES;PUENTE DE VALLECAS;1;
179575;TRES;ENVASES;CARABANCHEL;1;
179577;TRES;ENVASES;PUENTE DE VALLECAS;1;
179576;TRES;ENVASES;CARABANCHEL;1;
179578;TRES;ENVASES;PUENTE DE VALLECAS;1;
179211;TRES;ENVASES;CARABANCHEL;1;
179167;TRES;ENVASES;PUENTE DE VALLECAS;1;
179070;TRES;ENVASES;CARABANCHEL;1;
179212;TRES;ENVASES;CARABANCHEL;1;
179558;TRES;ENVASES;CARABANCHEL;1;
179325;TRES;ENVASES;CARABANCHEL;1;
179111;TRES;ENVASES;PUENTE DE VALLECAS;1;
179405;TRES;ENVASES;USERA;1;
179586;TRES;ENVASES;VILLAVERDE;1;
179598;TRES;ENVASES;VILLA DE VALLECAS;1;
179587;TRES;ENVASES;VILLAVERDE;1;
179597;TRES;ENVASES;VILLA DE VALLECAS;1;
179588;TRES;ENVASES;VILLAVERDE;1;
179106;TRES;ENVASES;PUENTE DE VALLECAS;1;
179485;TRES;ENVASES;PUENTE DE VALLECAS;1;
179499;TRES;ENVASES;PUENTE DE VALLECAS;1;
179486;TRES;ENVASES;PUENTE DE VALLECAS;1;
179056;TRES;ENVASES;PUENTE DE VALLECAS;1;
179284;TRES;ENVASES;PUENTE DE VALLECAS;1;
179168;TRES;ENVASES;PUENTE DE VALLECAS;1;
179019;TRES;ENVASES;VILLAVERDE;1;
179406;TRES;ENVASES;USERA;1;
179436;TRES;ENVASES;CARABANCHEL;1;
179601;TRES;ENVASES;VILLAVERDE;1;
179612;TRES;ENVASES;VILLA DE VALLECAS;1;
179602;TRES;ENVASES;VILLAVERDE;1;
179603;TRES;ENVASES;VILLAVERDE;1;
179604;TRES;ENVASES;VILLAVERDE;1;
179057;TRES;ENVASES;PUENTE DE VALLECAS;1;
179525;TRES;ENVASES;CARABANCHEL;1;
179319;TRES;ENVASES;CARABANCHEL;1;
179500;TRES;ENVASES;PUENTE DE VALLECAS;1;
179020;TRES;ENVASES;VILLAVERDE;1;
179379;TRES;ENVASES;CARABANCHEL;1;
179107;TRES;ENVASES;PUENTE DE VALLECAS;1;
179437;TRES;ENVASES;CARABANCHEL;1;
179599;TRES;ENVASES;VILLA DE VALLECAS;1;
179600;TRES;ENVASES;VILLA DE VALLECAS;1;
179532;TRES;ENVASES;CARABANCHEL;1;
179532;TRES;VIDRIO;CARABANCHEL;1;
